Num,VOLTAGE,KVA,YOM,Age,CO,CO2,H2,CH4,C2H4,C2H6,C2H2,H2O,ACIDITY,BREAKDOWN,FURFURAL,DDF,Label,
77,33000,2335,1987,16,57.3,707.8,10.6,3.1,1,0.9,0,12,0.01,67,0.011,0.022,1,
122,66000,6250,1976,30,333,2863.7,11.7,9.6,0.5,2.2,0,5,0.01,75,0,0.016,1,
168,33000,1000,1992,13,60,890,9,1,0.3,0.1,0,11,0.015,75,0.014,0.008,1,
97,33000,1500,1962,45,57.7,960.1,0,1.2,0,0,0,5,0.01,75,0.015,0.031,1,
134,66000,2500,1988,19,86.1,1248.9,2.7,1.5,0.7,1,0,5,0.01,75,0.004,0.007,1,
112,33000,,,,107.7,1624,15.1,1.8,1,0.6,0.3,16,0.01,75,0.026,0.011,1,
88,132000,40000,2004,4,223,699.1,4.7,12.2,2,17.8,0,2,0.01,75,0.002,0.0098,1,
96,33000,,1987,15,75,974,14,2,1,0,0,7,0.007,88,0,0.035,1,
66,33000,6300,1998,9,66.8,890.9,90,7.5,0.3,20.7,0,3,0.01,71,0.01,0.011,1,
87,33000,,2004,4,123.5,1679.7,30.2,12.4,4.1,30.7,0,2,0.01,75,0.004,0.003,1,
25,11000,,1982,26,18.3,820.7,0,1.5,0.8,2.2,0,6,0.01,67,0.007,0.012,1,
7,132000,30000,2002,5,287.9,1519.4,32,4,1.3,0.7,0,3,0.01,75,0,0.004,1,
82,33000,200,1987,16,45.8,543.5,12.1,1.6,0.7,0.7,0,14,0.01,75,0.01,0.021,1,
8,33000,3000,1985,16,77,1594,35,4,9,6,1,14,0.056,82,0.09,0.032,1,
101,132000,30000,2002,5,346.2,2003.2,26.9,5.2,1.6,0.8,0,5,0.01,75,0,0.004,1,
